comment,encoded_label
online analytical processing,0
online analytical processing,0
online analytical processing,0
olap is spongebobs viking friends,0
online analytical processing olap online transaction processing oltp,0
online analytical process,0
thanks,1
very true,1
thank you time i need this now,0
very true,1
so much relatable,1
trueloved it,0
i am new to ai but have years as cyber security architect i want to learn ai and building ai applications have worked a lot on c sql and some python not pandas or numpy though what paid courses from your website would you recommend i do,1
is your certificate hold some power na,0
are we allowed to use frameworks like crewai etc,0
sir please make sure your next data analyst resume projcet should be the mix of pbi dashbobard sql adhoc questions like goodcabs project thank you,1
here is the link to explore,0
thankyou sir you an inspiration,0
is your certificate is valid for jobs,0
thanks for the guide always stay blessed,1
hey your site is not working how irresponsible and lathargic your team is that they are not going to fix it in hours pls fix your site problem asap,0
eveything in this video is great except at you states we dont need to hire new people thats my concern if every company stated this how the freshers will get a job even expericned professtional also find very difficult to swtich right sir,1
hi sir as of now i have understood every website will use some sort ai or machine learning model in their website so my question is will there will be demand for engineers who develop models or the one who use llms and use the pre build models,0
i kindly request that you implement a research paper from scratch similar to a project i suggest starting with attention is all you need retrievalaugmented generation rag a x image model or any topic you prefer,1
three years ago you mentioned domain knowledge expertise i believr that is more more important please advice on that part too,1
can you address problems of hosted llms stealing data of the organisation and client and use it for their benefit,0
hi dhaval im backend engineer with years of experience can i switch to gen ai role in year with the road map you mentioned what is your advice for experienced folks,1
very informative video,1
i got a codebasics ad on a codebasics video,0
can freshers become a data engineer,0
will your previous ai engineering roadmap help to become the new ai engineer,0
can you please tell about project management how is it good in todays job market pls make a video on it,1
he is basically saying we all are cooked i have better advice than this do iti and learn labor work that is hard for ai to replace and open your shop these white collar jobs will become a super rat race where we are having shrinking job roles and supply of educated people is much much higher do not waste lakhs of rs on colleges and learn real world skills if you can do all those things that he mentioned in the video why would you work from another person in a company you will create your own company do not get so optimistic save your parents hard earned money and do physical intensive work not knowledge intensive white collar job bloodbath is here no matter how much you upskill i am a sdet and quitting it now and getting into real estate business if you do not agree with this come again in years and hit like button on this comment when you already destroyed your life,1
sir i have started to learn flutter with backend and then transition into cloud or devops eng should i stick with my current roadmap or should i choose data engineering or ai engineering i am a fresh graduate bscs std and confuse to choose the right skill plz help me,1
hello sir first thanks for very informative updates am a second year student in the major of software engineering am trying to struggle for both software skills and ai skills also am very good in interactive tutorials like yours thanks a lot for that the problem is i still cant believe that i can solve real world problems so how should i treat my mind and to believe that i can do something game changer in the society,1
hello i have years of experience and working as senior software engineeraiming for architect roleive been using ai tools in my developmentshould i focus more on system design to move toward architectureor consider transitioning ai engineer role if i take a course and build solid ai fundamentals how can i position myself internally within organisation as capable of handling ai engineer role despite not having formal experience yetwould love to hear your thoughtsthanks for great content,1
he makes it so elaborative thats why i love him so much my unpaid guru,1
being an educator how to adapt to such faster tech changes in a short time also how we can see the future of educators,0
brother im in btech ive wasted my time for years but in the last one month working hard everyday for hours ive developed a strong knowledge in mldlaillmgenai but the problem is ive heard there are no jobs that will be available for freshers in any of those areas its so frustating at the same time so fearful what can i doplease help me,0
hi dhaval as usual great content can you help me with below question like years back in your video i guess you are and your guests told future of ai will be around nlp and today we can see how relevant it is llms genai etc can you again suggest your view on what skill should one move towards so that he could have some advantage in future like for next years currently i am working towards time series forecasting along with mlops,1
if ai can replace software engineers why do you encourage to learn data engineering data analytics dont you think ai can not replace data engineers,0
can we expect any data engineer related course from you sir,0
hi sir could you please explain how web applications will replace by ai some insights please if possible,0
very helpful video,1
hello sir in future which skills will i developed,0
thanks for video it is helpful,1
participation link as per youtube policy the link is not clickable you can copy and paste it into your browser to use it,0
sorry i could not find the challenge on the website i used mobile to access the website it may be there some where but not on main page,-1
sir i have been a bright student till class th with but mere th me haitoh college me ache se padhungi for good cgpa lekin agr skills hai aur cgpa bhi achi hai still th ke marks ka campus selection me fark parta hai kya i m worriedpls reply,1
sirrrrrrrrrrr how to participate innnnn kindly guide,1
