video_id,comment
g2T08lGuVVw,❤
_gsdi6PJeuA,Online analytical processing
_gsdi6PJeuA,Online analytical processing
_gsdi6PJeuA,Online Analytical processing
_gsdi6PJeuA,Olap is Spongebob's Viking friends
_gsdi6PJeuA,On-Line Analytical Processing (OLAP) On-Line Transaction Processing (OLTP)
_gsdi6PJeuA,Online Analytical process
Y9Xjk0H5bGM,Thanks
Y9Xjk0H5bGM,Very true
Y9Xjk0H5bGM,Thank you. Time . I need this now.
Y9Xjk0H5bGM,Very true 💯
Y9Xjk0H5bGM,So much relatable 😄
Y9Xjk0H5bGM,true..loved it
Y9Xjk0H5bGM,🥰🥰
sHQm6PTVs2A,"@codebasics I am new to AI, but have 20+years as cyber security architect, I want to learn AI and building AI applications, have worked a lot on C , SQL and some python (not pandas or numpy though)
What paid courses from your website would you recommend I do?"
sHQm6PTVs2A,Is your certificate hold some power na?
sHQm6PTVs2A,Are we allowed to use frameworks like crewAi etc ?
sHQm6PTVs2A,"Sir please make sure, your next data analyst Resume Projcet should be the mix of PBI Dashbobard + SQL adhoc questions like Goodcabs project. 😊 🙏 Thank you."
sHQm6PTVs2A,😊
sHQm6PTVs2A,😃
sHQm6PTVs2A,🙂
PzbrZLtFeKM,Here is the link to explore: https://bit.ly/457rn3t
PzbrZLtFeKM,Thankyou sir. You an inspiration
tJ50n3qzDmE,Is your certificate is valid for jobs ?
tJ50n3qzDmE,Thanks for the guide... always stay blessed🙏
tJ50n3qzDmE,"Hey your site is not working @mrpeterpandey , how irresponsible and lathargic your team is , that they are not going to fix it in 24 hours, pls fix your site problem ASAP"
tJ50n3qzDmE,eveything in this video is great except at 5:17.. you states we don't need to hire new people.. thats my concern. if every company stated this how the freshers will get a job.. even expericned professtional also find very difficult to swtich right sir ?🥲
tJ50n3qzDmE,"Hi Sir, as of now i have understood every website will use some sort AI or machine learning model in their website. So my question is will there will be demand for engineers who develop models or the one who use LLM's and use the pre build models..."
tJ50n3qzDmE,"I kindly request that you implement a research paper from scratch, similar to a project. I suggest starting with ""Attention Is All You Need,"" Retrieval-Augmented Generation (RAG), a 16x16 image model, or any topic you prefer."
tJ50n3qzDmE,Three years ago you mentioned domain knowledge expertise.  I believr that is more more Important. Please advice on that part too!!
tJ50n3qzDmE,Can you address problems of hosted LLMs stealing  data of the organisation and client and use it for their benefit
tJ50n3qzDmE,"Hi Dhaval,
I’m backend engineer with 13 years of experience.. can I switch to gen ai role in 1-2 year with the road map you mentioned?
What is your advice for experienced folks"
tJ50n3qzDmE,Very informative video
tJ50n3qzDmE,i got a codebasics ad on a codebasics video 😆
tJ50n3qzDmE,Can freshers become a data engineer?
tJ50n3qzDmE,"Will your previous ""Ai Engineering roadmap 2025"" help to become the new Ai Engineer 2.0?"
tJ50n3qzDmE,@codebasics can you please tell about project management ? How is it good in todays job market ? Pls make a video on it
tJ50n3qzDmE,"He is basically saying we all are cooked. I have better advice than this. Do ITI and learn labor work that is hard for AI to replace and open your shop. These white collar jobs will become a super rat race where we are having shrinking job roles and supply of educated people is much much higher. Do not waste lakhs of rs on colleges and learn real world skills. If you can do all those things that he mentioned in the video why would you work from another person in a company? You will create your own company. Do not get so optimistic, save your parents hard earned money and do physical intensive work not knowledge intensive. White collar job bloodbath is here no matter how much you upskill. I am a SDET and quitting IT now and getting into real estate business. If you do not agree with this come again in 5 years and hit like button on this comment when you already destroyed your life."
tJ50n3qzDmE,"Sir,, i have started to learn flutter with backend and then transition into cloud or devops eng. should i stick with my current roadmap or should i choose data engineering or ai engineering. i am a fresh graduate BSCS std and confuse to choose the right skill,. Plz help me"
tJ50n3qzDmE,"Hello sir, First thanks for very informative updates..... am a second year student in the major of software engineering , am trying  to struggle for both software skills and AI skills.... also am very good in interactive tutorials like yours 🙂 thanks a lot for that.... the problem is i still can't believe that i can solve real world problems, so how should i treat my mind and to believe that i can do something game changer in the society?...."
tJ50n3qzDmE,"Hello, I have 14 years of experience and working as senior software engineer,aiming for architect role.I’ve been using ai tools in my development.should I focus more on system design to move toward architecture,or consider transitioning ai engineer role.
If I take a course and build solid AI fundamentals ,how can I position myself internally within organisation as capable of handling AI engineer role- despite not having formal experience yet?would love to hear your thoughts.Thanks for great content"
tJ50n3qzDmE,He makes it so elaborative thats why i love him so much. My unpaid guru 😂
tJ50n3qzDmE,Being an Educator How to adapt to such faster tech changes in a short time. Also how we can see the future of educators.
